id_venta,fecha,id_tienda,producto,categoria,precio_unitario,cantidad,descuento_pct,canal_venta,calificacion_cliente,nombre_tienda,region,total_venta
1,2025-02-21,103,Monitor,Cómputo,679965.0,1,0.05,Tienda física,5,Cali Norte,Pacífico,645966.0
2,2025-01-15,103,Teclado,Accesorios,92659.0,1,0.0,Online,4,Cali Norte,Pacífico,92659.0
3,2025-03-13,102,Mouse,Accesorios,47666.0,3,0.0,Online,5,Medellín Poblado,Andina,142998.0
4,2025-03-02,102,Mouse,Accesorios,47286.0,4,0.0,Online,4,Medellín Poblado,Andina,189145.0
5,2025-01-21,102,Teclado,Accesorios,81647.0,1,0.2,Tienda física,4,Medellín Poblado,Andina,65318.0
6,2025-03-24,104,Mouse,Accesorios,44053.0,2,0.2,Online,3,Barranquilla Mall,Caribe,70484.0
7,2025-03-28,101,Audífonos,Accesorios,130339.0,1,0.2,Tienda física,5,Bogotá Centro,Andina,104272.0
8,2025-03-16,102,Audífonos,Accesorios,111017.0,1,0.1,Tienda física,3,Medellín Poblado,Andina,99916.0
9,2025-03-16,102,Monitor,Cómputo,680823.0,1,0.05,Tienda física,5,Medellín Poblado,Andina,646781.0
10,2025-03-29,102,Laptop,Cómputo,3065771.0,1,0.2,Tienda física,5,Medellín Poblado,Andina,2452617.0
11,2025-01-24,103,Mouse,Accesorios,40970.0,1,0.05,Tienda física,5,Cali Norte,Pacífico,38921.0
12,2025-01-03,103,Laptop,Cómputo,2902029.0,2,0.0,Tienda física,4,Cali Norte,Pacífico,5804057.0
13,2025-01-22,104,Monitor,Cómputo,645860.0,1,0.2,Tienda física,5,Barranquilla Mall,Caribe,516688.0
14,2025-02-22,101,Monitor,Cómputo,660293.0,3,0.0,Tienda física,5,Bogotá Centro,Andina,1980878.0
15,2025-01-02,104,Audífonos,Accesorios,110048.0,1,0.2,Online,3,Barranquilla Mall,Caribe,88039.0
16,2025-03-29,101,Mouse,Accesorios,40887.0,1,0.0,Tienda física,4,Bogotá Centro,Andina,40887.0
17,2025-01-30,103,Audífonos,Accesorios,124005.0,1,0.0,Online,2,Cali Norte,Pacífico,124005.0
18,2025-02-07,103,Audífonos,Accesorios,127759.0,2,0.0,Tienda física,4,Cali Norte,Pacífico,255519.0
19,2025-01-02,103,Mouse,Accesorios,47538.0,1,0.2,Online,3,Cali Norte,Pacífico,38031.0
20,2025-03-05,104,Audífonos,Accesorios,121051.0,1,0.0,Tienda física,3,Barranquilla Mall,Caribe,121051.0
21,2025-03-01,102,Mouse,Accesorios,41399.0,4,0.0,Tienda física,4,Medellín Poblado,Andina,165595.0
22,2025-01-21,102,Mouse,Accesorios,46692.0,1,0.1,Tienda física,4,Medellín Poblado,Andina,42023.0
23,2025-02-02,103,Teclado,Accesorios,85354.0,1,0.2,Tienda física,4,Cali Norte,Pacífico,68283.0
24,2025-03-17,102,Mouse,Accesorios,48700.0,3,0.1,Online,2,Medellín Poblado,Andina,131489.0
25,2025-02-27,102,Teclado,Accesorios,96089.0,1,0.0,Tienda física,4,Medellín Poblado,Andina,96089.0
26,2025-01-22,104,Teclado,Accesorios,93769.0,1,0.2,Tienda física,3,Barranquilla Mall,Caribe,75015.0
27,2025-03-30,101,Teclado,Accesorios,98079.0,1,0.0,Online,4,Bogotá Centro,Andina,98079.0
28,2025-02-18,103,Mouse,Accesorios,40783.0,1,0.0,Online,4,Cali Norte,Pacífico,40783.0
29,2025-02-28,103,Teclado,Accesorios,94252.0,1,0.0,Tienda física,4,Cali Norte,Pacífico,94252.0
30,2025-02-11,104,Teclado,Accesorios,86944.0,1,0.05,Tienda física,5,Barranquilla Mall,Caribe,82597.0
31,2025-03-01,104,Teclado,Accesorios,97309.0,1,0.0,Tienda física,4,Barranquilla Mall,Caribe,97309.0
32,2025-03-21,102,Mouse,Accesorios,42900.0,1,0.05,Tienda física,5,Medellín Poblado,Andina,40755.0
33,2025-01-15,103,Laptop,Cómputo,2925920.0,2,0.05,Tienda física,4,Cali Norte,Pacífico,5559247.0
34,2025-03-03,101,Teclado,Accesorios,96798.0,1,0.0,Online,4,Bogotá Centro,Andina,96798.0
35,2025-03-03,104,Mouse,Accesorios,40875.0,1,0.0,Tienda física,4,Barranquilla Mall,Caribe,40875.0
36,2025-02-16,101,Teclado,Accesorios,88158.0,3,0.0,Tienda física,1,Bogotá Centro,Andina,264473.0
37,2025-03-03,101,Monitor,Cómputo,684100.0,2,0.2,Tienda física,5,Bogotá Centro,Andina,1094560.0
38,2025-02-20,103,Teclado,Accesorios,89189.0,1,0.0,Online,4,Cali Norte,Pacífico,89189.0
